activity_date,dau,account_id,_fivetran_synced
2026-05-25,8200,001ACC000000001,2026-06-01 12:00:00
2026-05-25,8200,001ACC000000002,2026-06-01 12:00:00
2026-05-26,8350,001ACC000000001,2026-06-01 12:00:00
2026-05-26,8350,001ACC000000003,2026-06-01 12:00:00
2026-05-27,8480,001ACC000000001,2026-06-01 12:00:00
2026-05-27,8480,001ACC000000002,2026-06-01 12:00:00
2026-05-28,8610,001ACC000000001,2026-06-01 12:00:00
2026-05-28,8610,001ACC000000003,2026-06-01 12:00:00
2026-05-29,8720,001ACC000000002,2026-06-01 12:00:00
2026-05-30,8780,001ACC000000001,2026-06-01 12:00:00
